{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 1.0
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.9 0.06
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front}
{ Material: PMMA }

1200 0.323 0.553 0.434
1204 0.327 0.557 0.454
1209 0.330 0.561 0.472
1214 0.331 0.564 0.487
1218 0.332 0.567 0.500
1223 0.332 0.571 0.511
1227 0.331 0.574 0.519
1232 0.329 0.577 0.526
1237 0.327 0.580 0.531
1241 0.325 0.584 0.536
1246 0.323 0.587 0.540
1250 0.320 0.589 0.544
1255 0.318 0.592 0.548
1260 0.315 0.595 0.552
1264 0.313 0.598 0.556
1269 0.310 0.601 0.559
1273 0.307 0.604 0.563
1278 0.305 0.607 0.566
1283 0.302 0.610 0.570
1287 0.300 0.613 0.572
1292 0.297 0.616 0.575
1296 0.294 0.619 0.578
1301 0.292 0.622 0.580
1306 0.289 0.625 0.582
1310 0.286 0.627 0.583
1315 0.282 0.630 0.581
1320 0.277 0.633 0.575
1324 0.271 0.635 0.563
1329 0.263 0.638 0.544
1333 0.253 0.640 0.516
1338 0.241 0.643 0.484
1343 0.230 0.645 0.453
1347 0.220 0.647 0.427
1352 0.212 0.649 0.406
1356 0.204 0.652 0.389
1361 0.198 0.654 0.376
1366 0.193 0.656 0.365
1370 0.189 0.658 0.357
1375 0.186 0.661 0.353
1379 0.184 0.663 0.353
1384 0.183 0.665 0.355
1389 0.182 0.668 0.359
1393 0.182 0.670 0.365
1398 0.182 0.672 0.372
1403 0.181 0.674 0.377
1407 0.181 0.676 0.381
1412 0.180 0.679 0.384
1416 0.178 0.681 0.385
1421 0.177 0.683 0.388
1426 0.177 0.685 0.395
1430 0.178 0.687 0.405
1435 0.179 0.689 0.418
1439 0.182 0.691 0.437
1444 0.185 0.693 0.458
1449 0.188 0.695 0.480
1453 0.191 0.697 0.501
1458 0.193 0.699 0.520
1462 0.195 0.701 0.536
1467 0.195 0.703 0.549
1472 0.196 0.705 0.560
1476 0.196 0.707 0.570
1481 0.196 0.708 0.580
1485 0.196 0.710 0.590
1490 0.196 0.712 0.599
1495 0.196 0.714 0.607
1499 0.195 0.715 0.613
1504 0.194 0.717 0.618
1509 0.193 0.719 0.623
1513 0.192 0.720 0.627
1518 0.191 0.722 0.630
1522 0.190 0.724 0.633
1527 0.188 0.725 0.635
1532 0.187 0.727 0.636
1536 0.185 0.729 0.635
1541 0.183 0.730 0.635
1545 0.182 0.732 0.634
1550 0.180 0.733 0.633
1555 0.178 0.735 0.631
1559 0.176 0.736 0.627
1564 0.174 0.738 0.624
1568 0.172 0.739 0.621
1573 0.169 0.741 0.617
1578 0.167 0.742 0.612
1582 0.165 0.744 0.608
1587 0.163 0.745 0.603
1591 0.161 0.746 0.597
1596 0.158 0.748 0.589
1601 0.156 0.749 0.580
1605 0.153 0.750 0.570
1610 0.150 0.752 0.557
1615 0.147 0.753 0.544
1619 0.144 0.754 0.530
1624 0.140 0.756 0.515
1628 0.136 0.757 0.497
1633 0.132 0.758 0.477
1638 0.127 0.759 0.450
1642 0.120 0.760 0.409
1647 0.110 0.761 0.355
1651 0.097 0.762 0.289
1656 0.082 0.764 0.222
1661 0.067 0.765 0.164
1665 0.053 0.766 0.119
1670 0.043 0.767 0.092
1674 0.036 0.768 0.077
1679 0.032 0.769 0.070
1684 0.032 0.770 0.070
1688 0.033 0.772 0.072
1693 0.035 0.773 0.076
1697 0.036 0.774 0.080
1702 0.036 0.775 0.083
1707 0.036 0.776 0.083
1711 0.036 0.777 0.082
1716 0.037 0.778 0.084
1721 0.038 0.779 0.086
1725 0.039 0.781 0.090
1730 0.041 0.782 0.098
1734 0.044 0.783 0.108
1739 0.048 0.784 0.120
1744 0.051 0.785 0.134
1748 0.055 0.786 0.151
1753 0.059 0.787 0.170
1757 0.063 0.788 0.188
1762 0.065 0.789 0.202
1767 0.067 0.790 0.212
1771 0.067 0.791 0.217
1776 0.067 0.792 0.219
1780 0.067 0.793 0.221
1785 0.067 0.794 0.225
1790 0.069 0.795 0.237
1794 0.071 0.796 0.253
1799 0.074 0.797 0.273
1804 0.076 0.798 0.292
1808 0.078 0.799 0.311
1813 0.080 0.800 0.327
1817 0.081 0.800 0.339
1822 0.082 0.801 0.349
1827 0.082 0.802 0.354
1831 0.082 0.803 0.354
1836 0.081 0.804 0.351
1840 0.080 0.805 0.348
1845 0.078 0.805 0.342
1850 0.077 0.806 0.333
1854 0.076 0.807 0.328
1859 0.075 0.808 0.324
1863 0.074 0.809 0.322
1868 0.073 0.809 0.320
1873 0.072 0.810 0.314
1877 0.070 0.810 0.301
1882 0.066 0.811 0.274
1886 0.060 0.812 0.237
1891 0.053 0.812 0.196
1896 0.045 0.813 0.153
1900 0.038 0.815 0.120
1905 0.034 0.815 0.102
1910 0.033 0.816 0.098
1914 0.036 0.816 0.115
1919 0.041 0.817 0.138
1923 0.046 0.817 0.169
1928 0.051 0.818 0.198
1933 0.053 0.819 0.215
1937 0.054 0.819 0.223
1942 0.054 0.820 0.226
1946 0.055 0.820 0.230
1951 0.056 0.821 0.240
1956 0.058 0.822 0.259
1960 0.061 0.822 0.284
1965 0.064 0.823 0.310
1969 0.066 0.824 0.335
1974 0.068 0.825 0.353
1979 0.069 0.825 0.367
1983 0.069 0.826 0.375
1988 0.069 0.827 0.378
1992 0.069 0.827 0.379
1997 0.068 0.828 0.379
2002 0.068 0.829 0.378
2006 0.067 0.829 0.376
2011 0.067 0.830 0.376
2016 0.066 0.831 0.375
2020 0.066 0.831 0.374
2025 0.065 0.832 0.371
2029 0.064 0.832 0.366
2034 0.063 0.833 0.360
2039 0.062 0.834 0.354
2043 0.061 0.834 0.347
2048 0.060 0.835 0.337
2052 0.058 0.836 0.330
2057 0.058 0.836 0.324
2062 0.057 0.837 0.317
2066 0.055 0.837 0.308
2071 0.054 0.838 0.297
2075 0.052 0.839 0.284
2080 0.050 0.839 0.265
2085 0.047 0.839 0.242
2089 0.043 0.840 0.213
2094 0.039 0.841 0.181
2098 0.035 0.842 0.151
2103 0.031 0.842 0.127
2108 0.027 0.843 0.107
2112 0.024 0.843 0.093
2117 0.022 0.844 0.083
2122 0.021 0.844 0.076
2126 0.019 0.845 0.068
2131 0.017 0.846 0.062
2135 0.016 0.846 0.059
2140 0.016 0.846 0.060
2145 0.017 0.847 0.064
2149 0.019 0.847 0.072
2154 0.021 0.847 0.082
2158 0.021 0.848 0.085
2163 0.022 0.848 0.086
2168 0.021 0.849 0.084
2172 0.020 0.849 0.081
2177 0.019 0.849 0.078
2181 0.018 0.850 0.072
2186 0.016 0.850 0.064
2191 0.014 0.850 0.060
2195 0.013 0.850 0.059
2200 0.010 0.851 0.049
2205 0.010 0.852 0.050
2209 0.010 0.852 0.050
2214 0.010 0.852 0.050
2218 0.010 0.853 0.050
2223 0.010 0.853 0.050
2228 0.010 0.854 0.050
2232 0.010 0.854 0.050
2237 0.010 0.855 0.050
2241 0.010 0.855 0.051
2246 0.010 0.855 0.051
2251 0.010 0.856 0.051
2255 0.010 0.856 0.051
2260 0.010 0.857 0.051
2264 0.010 0.857 0.051
2269 0.010 0.857 0.051
2274 0.010 0.858 0.051
2278 0.010 0.858 0.052
2283 0.010 0.859 0.052
2287 0.010 0.859 0.052
2292 0.010 0.859 0.052
2297 0.010 0.860 0.052
2301 0.010 0.860 0.052
2306 0.010 0.860 0.052
2311 0.010 0.861 0.053
2315 0.010 0.861 0.053
2320 0.010 0.862 0.053
2324 0.010 0.862 0.053
2329 0.010 0.862 0.053
2334 0.010 0.863 0.053
2338 0.010 0.863 0.053
2343 0.010 0.863 0.053
2347 0.010 0.864 0.054
2352 0.010 0.864 0.054
2357 0.010 0.864 0.054
2361 0.010 0.865 0.054
2366 0.010 0.865 0.054
2370 0.010 0.865 0.054
2375 0.010 0.866 0.054
2380 0.010 0.866 0.055
2384 0.010 0.866 0.055
2389 0.010 0.867 0.055
2393 0.010 0.867 0.055
2398 0.010 0.867 0.055
2403 0.010 0.868 0.055
2407 0.010 0.868 0.055
2412 0.010 0.868 0.056
2417 0.010 0.869 0.056
2421 0.010 0.869 0.056
2426 0.010 0.869 0.056
2430 0.010 0.870 0.056
2435 0.010 0.870 0.056
2440 0.010 0.870 0.056
2444 0.010 0.870 0.057
2449 0.010 0.871 0.057
2453 0.010 0.871 0.057
2458 0.010 0.871 0.057
2463 0.010 0.872 0.057
2467 0.010 0.872 0.057
2472 0.010 0.872 0.058
2476 0.010 0.873 0.058
2481 0.010 0.873 0.058
2486 0.010 0.873 0.058
2490 0.010 0.873 0.058
2495 0.010 0.874 0.058
2499 0.010 0.874 0.058
