{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.9 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

1320 0.835 0.082 0.082
1325 0.810 0.080 0.080
1330 0.771 0.077 0.077
1335 0.719 0.075 0.075
1340 0.662 0.072 0.072
1345 0.609 0.068 0.068
1350 0.566 0.066 0.066
1355 0.534 0.065 0.065
1360 0.509 0.063 0.063
1365 0.488 0.063 0.063
1370 0.474 0.061 0.061
1375 0.465 0.060 0.060
1380 0.463 0.060 0.060
1385 0.466 0.059 0.059
1390 0.472 0.057 0.057
1395 0.480 0.057 0.057
1400 0.489 0.056 0.056
1405 0.496 0.057 0.057
1410 0.499 0.057 0.057
1415 0.499 0.058 0.058
1420 0.501 0.059 0.059
1425 0.507 0.060 0.060
1430 0.519 0.062 0.062
1435 0.539 0.064 0.064
1440 0.564 0.066 0.066
1445 0.594 0.069 0.069
1450 0.626 0.071 0.071
1455 0.655 0.073 0.073
1460 0.680 0.075 0.075
1465 0.698 0.076 0.076
1470 0.712 0.076 0.076
1475 0.725 0.075 0.075
1480 0.737 0.076 0.076
1485 0.749 0.076 0.076
1490 0.760 0.076 0.076
1495 0.770 0.075 0.075
1500 0.778 0.076 0.076
1505 0.785 0.076 0.076
1510 0.791 0.076 0.076
1515 0.796 0.076 0.076
1520 0.800 0.077 0.077
1525 0.802 0.078 0.078
1530 0.804 0.080 0.080
1535 0.805 0.081 0.081
1540 0.804 0.082 0.082
1545 0.802 0.082 0.082
1550 0.799 0.084 0.084
1555 0.795 0.084 0.084
1560 0.790 0.084 0.084
1565 0.784 0.083 0.083
1570 0.778 0.082 0.082
1575 0.770 0.081 0.081
1580 0.763 0.080 0.080
1585 0.754 0.078 0.078
1590 0.744 0.076 0.076
1595 0.732 0.073 0.073
1600 0.717 0.071 0.071
1605 0.701 0.069 0.069
1610 0.681 0.067 0.067
1615 0.659 0.066 0.066
1620 0.635 0.064 0.064
1625 0.611 0.062 0.062
1630 0.585 0.061 0.061
1635 0.554 0.059 0.059
1640 0.511 0.057 0.057
1645 0.450 0.057 0.057
1650 0.370 0.054 0.054
1655 0.279 0.051 0.051
1660 0.192 0.050 0.050
1665 0.123 0.049 0.049
1670 0.075 0.049 0.049
1675 0.048 0.048 0.048
1680 0.037 0.047 0.047
1685 0.036 0.049 0.049
1690 0.041 0.048 0.048
1695 0.045 0.048 0.048
1700 0.048 0.047 0.047
1705 0.049 0.047 0.047
1710 0.050 0.047 0.047
1715 0.052 0.047 0.047
1720 0.055 0.047 0.047
1725 0.061 0.045 0.045
1730 0.070 0.044 0.044
1735 0.084 0.045 0.045
1740 0.101 0.044 0.044
1745 0.123 0.044 0.044
1750 0.147 0.044 0.044
1755 0.172 0.043 0.043
1760 0.196 0.045 0.045
1765 0.213 0.045 0.045
1770 0.222 0.047 0.047
1775 0.225 0.048 0.048
1780 0.226 0.047 0.047
1785 0.232 0.048 0.048
1790 0.247 0.047 0.047
1795 0.270 0.049 0.049
1800 0.298 0.052 0.052
1805 0.326 0.053 0.053
1810 0.351 0.055 0.055
1815 0.371 0.055 0.055
1820 0.384 0.055 0.055
1825 0.392 0.055 0.055
1830 0.395 0.056 0.056
1835 0.393 0.058 0.058
1840 0.387 0.056 0.056
1845 0.377 0.055 0.055
1850 0.366 0.054 0.054
1855 0.356 0.053 0.053
1860 0.351 0.051 0.051
1865 0.348 0.051 0.051
1870 0.344 0.051 0.051
1875 0.332 0.051 0.051
1880 0.307 0.049 0.049
1885 0.265 0.045 0.045
1890 0.213 0.043 0.043
1895 0.158 0.043 0.043
1900 0.109 0.042 0.042
1905 0.079 0.043 0.043
1910 0.073 0.041 0.041
1915 0.091 0.041 0.041
1920 0.125 0.043 0.043
1925 0.163 0.047 0.047
1930 0.193 0.045 0.045
1935 0.208 0.046 0.046
1940 0.212 0.047 0.047
1945 0.214 0.048 0.048
1950 0.224 0.049 0.049
1955 0.246 0.050 0.050
1960 0.278 0.050 0.050
1965 0.314 0.051 0.051
1970 0.346 0.053 0.053
1975 0.370 0.056 0.056
1980 0.386 0.056 0.056
1985 0.394 0.056 0.056
1990 0.398 0.056 0.056
1995 0.399 0.056 0.056
2000 0.399 0.056 0.056
2005 0.398 0.056 0.056
2010 0.397 0.055 0.055
2015 0.396 0.054 0.054
2020 0.393 0.057 0.057
2025 0.390 0.057 0.057
2030 0.385 0.054 0.054
2035 0.378 0.052 0.052
2040 0.370 0.054 0.054
2045 0.362 0.053 0.053
2050 0.352 0.052 0.052
2055 0.343 0.050 0.050
2060 0.334 0.048 0.048
2065 0.324 0.048 0.048
2070 0.312 0.049 0.049
2075 0.296 0.048 0.048
2080 0.274 0.046 0.046
2085 0.246 0.047 0.047
2090 0.211 0.046 0.046
2095 0.173 0.045 0.045
2100 0.135 0.043 0.043
2105 0.103 0.044 0.044
2110 0.079 0.042 0.042
2115 0.064 0.042 0.042
2120 0.054 0.044 0.044
2125 0.046 0.040 0.040
2130 0.038 0.047 0.047
2135 0.032 0.040 0.040
2140 0.031 0.042 0.042
2145 0.036 0.041 0.041
2150 0.045 0.046 0.046
2155 0.052 0.043 0.043
