{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.04 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

1200 0.178 0.652 0.498
1204 0.178 0.657 0.522
1209 0.178 0.662 0.543
1214 0.178 0.666 0.562
1218 0.177 0.671 0.577
1223 0.175 0.675 0.589
1227 0.173 0.679 0.599
1232 0.171 0.683 0.607
1237 0.168 0.687 0.614
1241 0.166 0.691 0.621
1246 0.163 0.695 0.628
1250 0.161 0.699 0.634
1255 0.158 0.703 0.641
1260 0.156 0.707 0.647
1264 0.153 0.711 0.653
1269 0.151 0.715 0.658
1273 0.148 0.719 0.662
1278 0.145 0.722 0.666
1283 0.143 0.726 0.668
1287 0.140 0.729 0.670
1292 0.138 0.732 0.671
1296 0.135 0.735 0.672
1301 0.133 0.738 0.672
1306 0.130 0.741 0.671
1310 0.128 0.744 0.670
1315 0.125 0.747 0.666
1320 0.122 0.749 0.657
1324 0.118 0.752 0.642
1329 0.114 0.755 0.620
1333 0.108 0.758 0.588
1338 0.103 0.761 0.551
1343 0.097 0.763 0.515
1347 0.092 0.766 0.484
1352 0.088 0.768 0.460
1356 0.084 0.771 0.441
1361 0.081 0.773 0.426
1366 0.078 0.776 0.414
1370 0.076 0.778 0.405
1375 0.074 0.780 0.400
1379 0.073 0.782 0.399
1384 0.072 0.784 0.401
1389 0.071 0.786 0.405
1393 0.071 0.788 0.410
1398 0.070 0.790 0.417
1403 0.070 0.793 0.423
1407 0.069 0.795 0.428
1412 0.068 0.797 0.431
1416 0.067 0.798 0.433
1421 0.067 0.800 0.437
1426 0.066 0.802 0.444
1430 0.066 0.804 0.456
1435 0.067 0.806 0.472
1439 0.067 0.808 0.493
1444 0.068 0.810 0.517
1449 0.069 0.811 0.542
1453 0.069 0.813 0.565
1458 0.070 0.815 0.586
1462 0.070 0.816 0.602
1467 0.070 0.818 0.615
1472 0.069 0.819 0.625
1476 0.069 0.821 0.636
1481 0.069 0.822 0.646
1485 0.068 0.824 0.655
1490 0.068 0.825 0.664
1495 0.067 0.826 0.672
1499 0.067 0.828 0.679
1504 0.066 0.829 0.686
1509 0.065 0.830 0.691
1513 0.065 0.832 0.696
1518 0.064 0.833 0.701
1522 0.063 0.834 0.705
1527 0.063 0.836 0.709
1532 0.062 0.837 0.712
1536 0.062 0.838 0.714
1541 0.061 0.839 0.715
1545 0.060 0.841 0.715
1550 0.059 0.842 0.714
1555 0.058 0.843 0.712
1559 0.058 0.844 0.709
1564 0.057 0.845 0.705
1568 0.056 0.846 0.701
1573 0.055 0.847 0.696
1578 0.054 0.848 0.690
1582 0.053 0.849 0.684
1587 0.052 0.850 0.676
1591 0.051 0.851 0.667
1596 0.050 0.852 0.657
1601 0.049 0.853 0.645
1605 0.048 0.854 0.631
1610 0.046 0.855 0.615
1615 0.045 0.856 0.598
1619 0.044 0.857 0.580
1624 0.042 0.858 0.561
1628 0.041 0.859 0.541
1633 0.040 0.860 0.518
1638 0.038 0.860 0.488
1642 0.036 0.861 0.447
1647 0.033 0.862 0.393
1651 0.029 0.863 0.326
1656 0.025 0.864 0.257
1661 0.021 0.864 0.195
1665 0.016 0.865 0.143
1670 0.013 0.866 0.111
1674 0.011 0.867 0.089
1679 0.009 0.868 0.079
1684 0.009 0.868 0.078
1688 0.009 0.869 0.081
1693 0.009 0.870 0.084
1697 0.010 0.870 0.086
1702 0.010 0.871 0.087
1707 0.010 0.872 0.088
1711 0.010 0.873 0.089
1716 0.010 0.873 0.091
1721 0.010 0.874 0.093
1725 0.010 0.875 0.096
1730 0.011 0.875 0.104
1734 0.012 0.876 0.115
1739 0.013 0.876 0.127
1744 0.014 0.877 0.143
1748 0.015 0.878 0.161
1753 0.016 0.878 0.180
1757 0.017 0.879 0.200
1762 0.018 0.880 0.216
1767 0.018 0.880 0.228
1771 0.018 0.881 0.234
1776 0.018 0.881 0.236
1780 0.018 0.882 0.238
