{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.9 0.04
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Back }
{ Material: PMMA }

1075	0.347	0.454	0.473
1080	0.339	0.462	0.482
1084	0.332	0.470	0.490
1089	0.326	0.477	0.498
1094	0.320	0.484	0.506
1098	0.313	0.489	0.513
1103	0.306	0.493	0.520
1108	0.298	0.494	0.527
1112	0.290	0.493	0.534
1117	0.281	0.491	0.541
1121	0.272	0.486	0.549
1126	0.262	0.481	0.556
1131	0.252	0.473	0.563
1135	0.242	0.464	0.571
1140	0.233	0.454	0.577
1144	0.224	0.443	0.584
1149	0.214	0.431	0.590
1154	0.205	0.416	0.596
1158	0.197	0.402	0.601
1163	0.189	0.389	0.607
1167	0.182	0.381	0.612
1172	0.178	0.380	0.617
1177	0.176	0.389	0.623
1181	0.175	0.405	0.629
1186	0.175	0.423	0.635
1190	0.175	0.445	0.641
1195	0.177	0.472	0.647
1200	0.178	0.498	0.652
1204	0.178	0.522	0.657
1209	0.178	0.543	0.662
1214	0.178	0.562	0.666
1218	0.177	0.577	0.671
1223	0.175	0.589	0.675
1227	0.173	0.599	0.679
1232	0.171	0.607	0.683
1237	0.168	0.614	0.687
1241	0.166	0.621	0.691
1246	0.163	0.628	0.695
1250	0.161	0.634	0.699
1255	0.158	0.641	0.703
1260	0.156	0.647	0.707
1264	0.153	0.653	0.711
1269	0.151	0.658	0.715
1273	0.148	0.662	0.719
1278	0.145	0.666	0.722
1283	0.143	0.668	0.726
1287	0.140	0.670	0.729
1292	0.138	0.671	0.732
1296	0.135	0.672	0.735
1301	0.133	0.672	0.738
1306	0.130	0.671	0.741
1310	0.128	0.670	0.744
1315	0.125	0.666	0.747
1320	0.122	0.657	0.749
1324	0.118	0.642	0.752
1329	0.114	0.620	0.755
1333	0.108	0.588	0.758
1338	0.103	0.551	0.761
1343	0.097	0.515	0.763
1347	0.092	0.484	0.766
1352	0.088	0.460	0.768
1356	0.084	0.441	0.771
1361	0.081	0.426	0.773
1366	0.078	0.414	0.776
1370	0.076	0.405	0.778
1375	0.074	0.400	0.780
1379	0.073	0.399	0.782
1384	0.072	0.401	0.784
1389	0.071	0.405	0.786
1393	0.071	0.410	0.788
1398	0.070	0.417	0.790
1403	0.070	0.423	0.793
1407	0.069	0.428	0.795
1412	0.068	0.431	0.797
1416	0.067	0.433	0.798
1421	0.067	0.437	0.800
1426	0.066	0.444	0.802
1430	0.066	0.456	0.804
1435	0.067	0.472	0.806
1439	0.067	0.493	0.808
1444	0.068	0.517	0.810
1449	0.069	0.542	0.811
1453	0.069	0.565	0.813
1458	0.070	0.586	0.815
1462	0.070	0.602	0.816
1467	0.070	0.615	0.818
1472	0.069	0.625	0.819
1476	0.069	0.636	0.821
1481	0.069	0.646	0.822
1485	0.068	0.655	0.824
1490	0.068	0.664	0.825
1495	0.067	0.672	0.826
1499	0.067	0.679	0.828
1504	0.066	0.686	0.829
1509	0.065	0.691	0.830
1513	0.065	0.696	0.832
1518	0.064	0.701	0.833
1522	0.063	0.705	0.834
1527	0.063	0.709	0.836
1532	0.062	0.712	0.837
1536	0.062	0.714	0.838
1541	0.061	0.715	0.839
1545	0.060	0.715	0.841
1550	0.059	0.714	0.842
1555	0.058	0.712	0.843
1559	0.058	0.709	0.844
1564	0.057	0.705	0.845
1568	0.056	0.701	0.846
1573	0.055	0.696	0.847
1578	0.054	0.690	0.848
1582	0.053	0.684	0.849
1587	0.052	0.676	0.850
1591	0.051	0.667	0.851
1596	0.050	0.657	0.852
1601	0.049	0.645	0.853
1605	0.048	0.631	0.854
1610	0.046	0.615	0.855
1615	0.045	0.598	0.856
1619	0.044	0.580	0.857
1624	0.042	0.561	0.858
1628	0.041	0.541	0.859
1633	0.040	0.518	0.860
1638	0.038	0.488	0.860
1642	0.036	0.447	0.861
1647	0.033	0.393	0.862
1651	0.029	0.326	0.863
1656	0.025	0.257	0.864
1661	0.021	0.195	0.864
1665	0.016	0.143	0.865
1670	0.013	0.111	0.866
1674	0.011	0.089	0.867
1679	0.009	0.079	0.868
1684	0.009	0.078	0.868
1688	0.009	0.081	0.869
1693	0.009	0.084	0.870
1697	0.010	0.086	0.870
1702	0.010	0.087	0.871
1707	0.010	0.088	0.872
1711	0.010	0.089	0.873
1716	0.010	0.091	0.873
1721	0.010	0.093	0.874
1725	0.010	0.096	0.875
1730	0.011	0.104	0.875
1734	0.012	0.115	0.876
1739	0.013	0.127	0.876
1744	0.014	0.143	0.877
1748	0.015	0.161	0.878
1753	0.016	0.180	0.878
1757	0.017	0.200	0.879
1762	0.018	0.216	0.880
1767	0.018	0.228	0.880
1771	0.018	0.234	0.881
1776	0.018	0.236	0.881
1780	0.018	0.238	0.882
1785	0.018	0.244	0.882
1790	0.019	0.257	0.883
1794	0.019	0.276	0.883
1799	0.020	0.299	0.884
1804	0.021	0.323	0.884
1808	0.021	0.344	0.885
1813	0.022	0.361	0.885
1817	0.022	0.374	0.886
1822	0.022	0.382	0.886
1827	0.022	0.387	0.887
1831	0.022	0.389	0.887
1836	0.022	0.387	0.888
1840	0.021	0.381	0.888
1845	0.021	0.373	0.889
1850	0.020	0.364	0.889
1854	0.020	0.356	0.890
1859	0.019	0.350	0.890
1863	0.019	0.347	0.891
1868	0.019	0.344	0.891
1873	0.019	0.337	0.892
1877	0.018	0.321	0.892
1882	0.017	0.291	0.893
1886	0.015	0.253	0.893
1891	0.013	0.210	0.893
1896	0.011	0.167	0.894
1900	0.010	0.132	0.894
1905	0.008	0.111	0.895
1910	0.008	0.104	0.895
1914	0.009	0.119	0.895
1919	0.010	0.145	0.896
1923	0.011	0.177	0.896
1928	0.012	0.202	0.897
1933	0.013	0.218	0.897
1937	0.013	0.226	0.897
1942	0.013	0.229	0.898
1946	0.013	0.235	0.898
1951	0.013	0.247	0.898
1956	0.014	0.267	0.899
1960	0.015	0.293	0.899
